"","ABCB1|5243","ACTB|60","ACTG1|71","ACTL6A|86","ACTL6B|51412","AKT1|207","AKT2|208","AKT3|10000","ALK|238","APC|324","APC2|10297","APPL1|26060","AR|367","ARAF|369","AREG|374","ARHGEF6|9459","ARID1A|8289","ARID1B|57492","ARID2|196528","ARNT|405","ARNT2|9915","ATF4|468","AXIN1|8312","AXIN2|8313","BAD|572","BAK1|578","BAX|581","BBC3|27113","BCL2|596","BCL2A1|597","BCL2L1|598","BCL2L11|10018","BIRC5|332","BMP2|650","BMP4|652","BRAF|673","BRCA1|672","BRCA2|675","BRD7|29117","CALM1|801","CALM2|805","CALM3|808","CALML3|810","CALML4|91860","CALML5|51806","CALML6|163688","CAMK1|8536","CAMK1D|57118","CAMK1G|57172","CAMK2A|815","CAMK2B|816","CAMK2D|817","CAMK2G|818","CAMK4|814","CASP3|836","CASP9|842","CCDC6|8030","CCNA1|8900","CCNA2|890","CCND1|595","CCNE1|898","CCNE2|9134","CD14|929","CDC42|998","CDH1|999","CDH17|1015","CDK2|1017","CDK4|1019","CDK6|1021","CDKN1A|1026","CDKN1B|1027","CDKN2A|1029","CDKN2B|1030","CDX2|1045","CEBPA|1050","CEBPE|1053","CHUK|1147","CREB1|1385","CREB3|10488","CREB3L1|90993","CREB3L2|64764","CREB3L3|84699","CREB3L4|148327","CREB5|9586","CREBBP|1387","CRK|1398","CRKL|1399","CSF1R|1436","CSF2|1437","CSNK1A1|1452","CSNK1A1L|122011","CTNNA1|1495","CTNNA2|1496","CTNNA3|29119","CTNNB1|1499","CUL2|8453","CYCS|54205","DAPK1|1612","DAPK2|23604","DAPK3|1613","DCC|1630","DDB2|1643","DLL1|28514","DLL3|10683","DLL4|54567","DPF1|8193","DPF3|8110","DUSP6|1848","DVL1|1855","DVL2|1856","DVL3|1857","E2F1|1869","E2F2|1870","E2F3|1871","EGF|1950","EGFR|1956","EGLN1|54583","EGLN2|112398","EGLN3|112399","EIF4EBP1|1978","ELK1|2002","EML4|27436","EP300|2033","EPAS1|2034","ERBB2|2064","EREG|2069","ERG|2078","ESR1|2099","ESR2|2100","ETS1|2113","ETV5|2119","FCGR1A|2209","FGF1|2246","FGF10|2255","FGF16|8823","FGF17|8822","FGF18|8817","FGF19|9965","FGF2|2247","FGF20|26281","FGF21|26291","FGF22|27006","FGF23|8074","FGF3|2248","FGF4|2249","FGF5|2250","FGF6|2251","FGF7|2252","FGF8|2253","FGF9|2254","FGFR1|2260","FGFR2|2263","FGFR3|2261","FH|2271","FHIT|2272","FLCN|201163","FLT3|2322","FLT4|2324","FOS|2353","FOXO1|2308","FOXO3|2309","FRAT1|10023","FRAT2|23401","FZD1|8321","FZD10|11211","FZD2|2535","FZD3|7976","FZD4|8322","FZD5|7855","FZD6|8323","FZD7|8324","FZD8|8325","FZD9|8326","GAB1|2549","GADD45A|1647","GADD45B|4616","GADD45G|10912","GLI1|2735","GLI2|2736","GLI3|2737","GRB2|2885","GSK3B|2932","GSTA1|2938","GSTA2|2939","GSTA3|2940","GSTA4|2941","GSTA5|221357","GSTM1|2944","GSTM2|2946","GSTM3|2947","GSTM4|2948","GSTM5|2949","GSTO1|9446","GSTO2|119391","GSTP1|2950","GSTT1|2952","GSTT2|2953","HBEGF|1839","HES1|3280","HES5|388585","HEY1|23462","HEY2|23493","HEYL|26508","HGF|3082","HHIP|64399","HIF1A|3091","HMOX1|3162","HRAS|3265","HSP90AA1|3320","HSP90AB1|3326","HSP90B1|7184","IGF1|3479","IGF1R|3480","IGF2|3481","IKBKB|3551","IKBKG|8517","IL1R2|7850","IL3|3562","IL8|3576","ILK|3611","INS|3630","INSRR|3645","ITGAM|3684","JAG1|182","JAG2|3714","JAK1|3716","JAK3|3718","JUN|3725","JUP|3728","KEAP1|9817","KIF7|374654","KIT|3815","KLK3|354","KRAS|3845","LEF1|51176","LRP5|4041","LRP6|4040","MAP2K1|5604","MAP2K2|5605","MAPK1|5594","MAPK10|5602","MAPK3|5595","MAPK8|5599","MAPK9|5601","MDM2|4193","MET|4233","MGST1|4257","MGST2|4258","MGST3|4259","MITF|4286","MLH1|4292","MMP1|4312","MMP2|4313","MMP3|4314","MMP9|4318","MPO|4353","MSH2|4436","MSH3|4437","MSH6|2956","MTOR|2475","MUC2|4583","MYC|4609","NCOA1|8648","NCOA3|8202","NCOA4|8031","NFE2L2|4780","NFKB1|4790","NFKB2|4791","NFKBIA|4792","NKX3-1|4824","NOTCH1|4851","NOTCH2|4853","NOTCH3|4854","NOTCH4|4855","NQO1|1728","NRAS|4893","NTRK1|4914","PAK1|5058","PAK2|5062","PAK3|5063","PAK4|10298","PAK6|56924","PAK7|57144","PAX8|7849","PBRM1|55193","PDGFA|5154","PDGFB|5155","PDGFC|56034","PDGFD|80310","PDGFRA|5156","PDGFRB|5159","PDPK1|5170","PER2|8864","PGR|5241","PHF10|55274","PIK3CA|5290","PIK3CB|5291","PIK3CD|5293","PIK3R1|5295","PIK3R2|5296","PIK3R3|8503","PIM1|5292","PIM2|11040","PLAT|5327","PLAU|5328","PLCG1|5335","PLCG2|5336","PLD1|5337","PMAIP1|5366","PML|5371","POLK|51426","PPARD|5467","PPARG|5468","PRCC|5546","PRKCA|5578","PRKCB|5579","PRKCG|5582","PTCH1|5727","PTCH2|8643","PTEN|5728","PTPN11|5781","RAC1|5879","RAC2|5880","RAC3|5881","RAD51|5888","RAF1|5894","RALA|5898","RALB|5899","RALBP1|10928","RALGDS|5900","RAP1A|5906","RAP1B|5908","RAPGEF1|2889","RARA|5914","RARB|5915","RASSF1|11186","RASSF5|83593","RB1|5925","RBX1|9978","REG4|83998","RELA|5970","RET|5979","RHOA|387","RPS6KA5|9252","RPS6KB1|6198","RPS6KB2|6199","RUNX1|861","RUNX1T1|862","RXRA|6256","RXRB|6257","RXRG|6258","SHC1|6464","SHC2|25759","SHC3|53358","SHC4|399694","SHH|6469","SLC2A1|6513","SMAD2|4087","SMAD3|4088","SMAD4|4089","SMARCA2|6595","SMARCA4|6597","SMARCB1|6598","SMARCC1|6599","SMARCC2|6601","SMARCD1|6602","SMARCD2|6603","SMARCD3|6604","SMARCE1|6605","SMO|6608","SOS1|6654","SOS2|6655","SP1|6667","SPI1|6688","SPINT1|6692","SRC|6714","SRD5A2|6716","STAT1|6772","STAT3|6774","STAT5A|6776","STAT5B|6777","STK4|6789","SUFU|51684","TCEB1|6921","TCEB2|6923","TCF7|6932","TCF7L1|83439","TCF7L2|6934","TERT|7015","TFE3|7030","TFG|10342","TGFA|7039","TGFB1|7040","TGFB2|7042","TGFB3|7043","TGFBR1|7046","TGFBR2|7048","THBS1|7057","TMPRSS2|7113","TNFSF11|8600","TP53|7157","TPM3|7170","TPR|7175","TXNRD1|7296","TXNRD2|10587","TYMP|1890","UPK3A|7380","VEGFA|7422","VHL|7428","WNT1|7471","WNT10A|80326","WNT10B|7480","WNT11|7481","WNT16|51384","WNT2|7472","WNT2B|7482","WNT3|7473","WNT3A|89780","WNT4|54361","WNT5A|7474","WNT5B|81029","WNT6|7475","WNT7A|7476","WNT7B|7477","WNT8A|7478","WNT8B|7479","WNT9A|7483","WNT9B|7484","ZBTB16|7704","ZEB1|6935"
"FGF18|8817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804894754443475,0,0,0.0166376056220617,0,0,0,0,0.0211234124478705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817739807506156,0,0,0,0,0,0,0,0.0356191489827009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218866266023657,0,0,0,0,0,0,0,0.00131277568438079,0,0,0,0,0,0.0385008906417016,0,0,0,0.0128826266650451,0,0,0,0,0,0,0,0,0.00706707338082062,0,0,0,0,0,0,0,0,0,0,0.00140058043142744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336006451237802,0,0,0,0,0.0205626671804734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026054127539533,0.0231180007576381,0.0150659064259135,0.000173748987488906,0,0,0,0,0,0,0,0,0,0,0.0172066886120303,0,0.023484485625936,0,0,0,0,0,0.0389182165035052,0,0,0,0,0.0042934393248535,0.0168292493299658,0,0,0,0,0,0,0,0,0,0,0,0.00648013660897073,0,0,0,0.00526618138603562,0,0,0.00311265561132532,0,0,0,0,0.0461622342270347,0.00471603102396282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125823219490251,0,0,0,0,0,0,0,0,0,0,0.0311050265169806,0.0288472622940876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138721344132154,0,0,0,0,0,0,0,0,0,0,0,0.0033490417855363,0,0,0.00930392015809234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029720027816762,0,0,0,0,0.0192618233749685,0,0,0,0,0,0,0,0,0.0579821258297524,0.0126084382552601,0,0,0,0,0,0,0.0115759812776922,0,0,0.00398536465816868,0,0,0,0,0,0
"FGF19|9965",0,0,0,0,0,0,0,0,0.000314236292615453,0,0,0,0.0100170345114476,0,0.00322865420998558,9.29855211304433e-05,0,0,0,0,0.00267853625103049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472869998666955,0,0,0,0,0,0,0,0,0,0,0.00042295716503642,0,0,0,0,0.00479908555391948,0,0,0,0,0,0,0,0,0.00977055666083987,0,0,0,0,0,0.0138019151294215,0,0,0,0,0,0.00592671192682206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472521750161766,0,0,0,0,0,0.00507339854207105,0,0,0,0,0.00742620857314004,0,0,0,0.0102973906347296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526415077105954,0,0,0,0,0,0,0,0,0,0,0.0173507914527144,0,0,0,6.86573099582529e-05,0,0.00403797853128452,0,0.00372274675764856,0,0,0,0,0,0,0,0,0,0,0,0,0.00539612021919276,0,0,0,0,0.0029878359152503,0,0,0,0.0137166210579596,0,0,0,0,0,0,0,0,0,0.00377673971905011,0,0,0,0,0,0,0,0,0,0.00790484163375528,0,0,0,0,0,0,0,0,0,0,0.00368062132904782,0,0,0,0,0,0,0,0,0,0,0,0.00216307019592416,0,0.00467690401168294,0,0,0,0,0,0,0,0,0,0.000337544889990246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00794861178328841,0,0,0,0,0,0.0054211989767713,0,0,0,0,0,0,0,0.00614351076805926,0,0,0,0,0,0.0117931106610523,0,0,0,0,0,0,0,0,0.00554842364139153,0,0,0,0,0,0,0,0,0,0.00147278948308028,0,0,0,0.00330253926929529,0,0,0.0110832279313967,0,0,0.0128056359087125,0,0,0,0,0,0,0,0,0,0,0.00409000168225025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166930453524099,0,0,0,0.02146189719261,0,0,0,0,0,0,0,0,0.00334175608048191,0,0,0,0.00400346526712878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732751052265208,0,0,0.0153111412855635,0,0,0,0,0,0,0,0.0095839892908651,0,0,0,0,0,0,0.00461675885339216,0,0,0,0,0,0,0.000437782593854221,0,0,0,0,0,0,0,0.00327745190905784,0.017289497668863,0,0,0,0,0,0,0
"FGF2|2247",0.0416732398558619,0,0,0,0,0,0,0.0190881484080685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673091385035356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013395375073238,0,0,0,0.0641802819691645,0,0,0,0.0199425508354735,0,0,0,0,0,0,0,0,0,0,0.0719707166247061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196827287523202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397874163486336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276425538503819,0,0.0206164748757772,0,0,0,0,0,0,0,0,0,0,0,0.0569400395884078,0,0,0,0,0,0,0,0.0218341082428657,0,0,0.0333336212947324,0,0,0,0,0,0.0105073496782292,0.0556518980673552,0.0562275183821797,0,0,0,0,0,0,0,0,0.000177483461401926,0,0,0,0.0320997904644778,0,0,0,0,0,0.00869737820630309,0,0,0,0,0,0.0109279760604508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674262720826874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575981859364658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234738649688081,0,0,0,0,0,0,0,0,0,0,0,0.0201474962490412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00528284569542062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075713052464868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231101977687917,0,0,0,0,0,0,0,0.0299528891282165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104840773688504,0,0,0,0,0.0041584514968741,0,0,0,0.0159216233082566,0,0,0,0,0,0.018435902406964,0,0,0,0,0,0,0.111028660108683
"FGF20|26281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138657356246174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554243863561434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161066156758063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000776026322830394,0,0.000187623588872447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105332614343454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478653026724264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101179319783298,0,0,0,0.0188859756293863,0,0,0.00687967313489084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF21|26291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223565422237598,0,0,0,0,0,0,0,0.0113000788973932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00940379479978041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078409313894921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052984040831914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165172433722215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF22|27006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF23|8074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF3|2248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173507920190885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF4|2249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF5|2250",0,0,0,0,0,0,0,0.00785767229596679,0,0,0,0,0,0,0,0,0,0,0,0,0.00255024035040496,0,0,0.000945149841565629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588592845693287,0,0,0,0,0,0,0,0,0,0,0,0.0170174741296351,0.00561331718483362,0,0,0,0,0,0,0,0,0,0.0297571230697162,0,0,0.00540807852546398,0,0,0.00477890485588289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275228770195844,0.0139589108913783,0,0,0,0,0,0,0.0106475247520338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169505061486598,0.0045144896627465,0,0,0,0,0,0,0,0,0,0,0,0,0.00276501402871457,0,0,0,0,0,0,0,0,0,0,0.00304992319262705,0,0,0.0107503180977899,0,0,0,0,0,0.0202199598228553,0,0,0.0153665886528545,0,0,0,0,0,0,0.0191433396407368,0,0,0,0,0,0,0,8.68522707087006e-05,0,0,8.438830582263e-05,0,0,0,0.0206689226508147,0,0,0,0,0,0,0,0,0,0,0,0.00336556754722682,0,0,0,0,0,0,0,0,0,0.00712413824846361,0,0,0,0,0,0,0,0,0,0,0,0,0.00872883455650223,0,0,0,0,0.00737526266817027,0,0,0,0,0,0,0,0.000825934237678384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332524266317614,0,0.0175767706349052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220773955060642,0,0,0,0,0,0,0,0.01472899018444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460980294997128,0,0.000691234384238527,0,0.00470841435244305,0,0,0,0,0,0,0.0148357630593083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106619864578516,0,0,0,0.012917585703627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206540115695898,0.039845744230614,0,0,0,0,0,0,0,0,0,0,0.0178484218645379,0,0,0,0,0,0,0,0.000883686065632725,0,0,0,0,0.0157018457652463,0,0,0,0,0,0,0
